id,boat_name,skipper,vessel_make,vessel_model,mmsi,mmsi_confidence,phrf_lis,phrf_orc_aph,events,active,race_class
c067,Young American,Peter Becker & Adrien Blanc,J/Boats,J/105,338093016,probable,87.0,,Block Island Race Week 2026,YES,
c068,Zelee,Lindsey Lind,JPK,JPK 1030,368453450,probable,,,Block Island Race Week 2026,YES,
c069,Zig Zag,Andrew Clark,J/Boats,J/122,368384440,probable,,503.9,Block Island Race Week 2026,YES,
c070,Deviation YCC,Iris Vogel,J/Boats,J/88,368358170,low,,,LIS Weekend Race 2026-06-21,YES,
c071,El Diablo,Robert Fryer,Bolt,Bolt 37,338554674,probable,,,LIS Weekend Race 2026-06-21,YES,
c072,First Rate,Marek Antkowiak,Tartan,Tartan 34-2,338442426,probable,138.0,,"LIS Weekend Race 2026-06-21,ALIR2026",YES,
c073,Flying Circus,Stuart Markowitz,C&C,C&C 115,338562447,probable,,,LIS Weekend Race 2026-06-21,YES,
c074,Impulse,Len Di Iorio,O'Day,O'Day 39,338193854,probable,138.0,,LIS Weekend Race 2026-06-21,YES,
c075,Inessa II,Nikolas Grubecki,Jeanneau,Jeanneau 44,338509299,verified,,,LIS Weekend Race 2026-06-21,YES,
c076,New Freedom,Michael Mullan,Catalina,Catalina 34,338501741,probable,,,LIS Weekend Race 2026-06-21,YES,
c077,Palomino,Eugenio Silvestrini,C&C,C&C 37,338469505,verified,129.0,,"LIS Weekend Race 2026-06-21,ALIR2026",YES,
c078,Sanguine,Steven Landy / Derek Soohoo,J/Boats,J/100,368387130,verified,,,LIS Weekend Race 2026-06-21,YES,
c079,Tantara,Sam Boyer,Sparkman & Stephens,Custom 44,,not_found,,,LIS Weekend Race 2026-06-21,YES,
c080,Tenebrae,William Ingraham,J/Boats,J/124,368034190,verified,,,LIS Weekend Race 2026-06-21,YES,
c081,Cool Change,James Sheed,Hunter,39,,not_found,144,,ALIR2026,YES,Non-Spinnaker
c082,Dolcezza,Neill Parker Jr,Hunter,Legend 37.5,,not_found,150,,ALIR2026,YES,Non-Spinnaker
c084,Java,Marc Grill,Jeanneau,36.2 SO,,not_found,183,,ALIR2026,YES,Non-Spinnaker
c085,MARA,Alexander Malochka,Pearson,39-2,,not_found,120.0,,ALIR2026,YES,Non-Spinnaker
c087,Shooting Star,David Kingsbury,Peterson,34,,not_found,117,,ALIR2026,YES,Non-Spinnaker
c088,Veronique,Bert Rubin de Cervens,Beneteau,First 345,,not_found,135,,ALIR2026,YES,Non-Spinnaker
c089,YES 4X,Henryk Walerys,Beneteau,Oceanis 46.1,,not_found,135,,ALIR2026,YES,Non-Spinnaker
c090,Beagle,Willets Meyer,J Boats,J/44,,not_found,,,ALIR2026,YES,Spinnaker ORC
c091,Ohana,Ken Wisdom,Arcona,435 MkII,,not_found,,,ALIR2026,YES,Spinnaker ORC
c092,Surface Tension,Lou Melillo / Mike Bermann,Beneteau,First 44.7,,not_found,,,ALIR2026,YES,Spinnaker ORC
c093,ACTAEA,Michael M Cone,Alden,Bermuda 40,,not_found,153.0,,ALIR2026,YES,Spinnaker ToD/ToT
c094,Avalanche,Craig Albrecht / Alexis Gesualdo,Soto,40,,not_found,-33.0,,ALIR2026,YES,Spinnaker ToD/ToT
c095,Avatar,Janusz Kedzierski,Beneteau,First 42,,not_found,42.0,,ALIR2026,YES,Spinnaker ToD/ToT
c096,BETELGEUSE YCC,Ben Cohen,J Boats,J/36,,not_found,81.0,,ALIR2026,YES,Spinnaker ToD/ToT
c097,Crocodile,Scott Ward,Beneteau,First 50,,not_found,9.0,,ALIR2026,YES,Spinnaker ToD/ToT
c098,Elizabeth,Tom Hurter,Catalina,42,,not_found,111.0,,ALIR2026,YES,Spinnaker ToD/ToT
c099,Gup E,Nathaniel Beachum,J Boats,J/99,,not_found,72.0,,ALIR2026,YES,Spinnaker ToD/ToT
c103,MARIE,Paul Eliea,Tartan,372,,not_found,135.0,,ALIR2026,YES,Spinnaker ToD/ToT
c105,Mayhem,Mark May,German Frers,Frers 30,,not_found,132.0,,ALIR2026,YES,Spinnaker ToD/ToT
c106,Peggy-O,Pedro Escandon,Sabre,38,,not_found,129.0,,ALIR2026,YES,Spinnaker ToD/ToT
c108,Poseidon,Nico Martinez,Swan,45,,not_found,-24.0,,ALIR2026,YES,Spinnaker ToD/ToT
c109,Random,Robert Millstein,Sabre,362,,not_found,126.0,,ALIR2026,YES,Spinnaker ToD/ToT
c110,Ripple,Michael Colucci,S2,9.1,,not_found,135.0,,ALIR2026,YES,Spinnaker ToD/ToT
c111,Scarlett,David Wightman,J Boats,J/30,,not_found,147.0,,ALIR2026,YES,Spinnaker ToD/ToT
c112,The Rover,S. Steven Yang,Swan,44 MKII,,not_found,75.0,,ALIR2026,YES,Spinnaker ToD/ToT
